codigo_prel,codigo_mat,id_carrera
0415102T,0416207T,1
0834102T,0416207T,1
0826101T,0846203T,1
0826101T,0826201T,1

0412101T,0423305T,1
0416207T,0416304T,1
0846203T,0846302T,1
0826201T,0826301T,1

0416304T,0415405T,1
0846302T,0435406T,1
0826301T,0826401T,1
0826301T,0834405T,1
1023202T,1023302T,1

1012207T,1032301T,1
0423305T,0425501T,1
0415405T,0425501T,1
0415405T,0436505T,1
0435406T,0436505T,1
0415405T,0236509T,1
0435406T,0236509T,1
0826401T,0843503T,1
0834405T,0834501T,1

0425501T,0424604T,1
0425501T,0425601T,1
0436505T,0435607T,1
0436505T,0435606T,1
0843503T,0135701T,1
0834405T,0135701T,1
0826201T,1013401T,1

0425601T,0425705T,1
0435607T,0435709T,1
0435606T,0435708T,1
0135701T,0425701T,1
0843501T,0425701T,1
1013401T,0134805T,1

0425705T,0425801T,1
0435708T,0425803T,1
0425701T,0425803T,1
0134805T,0423804T,1
0914201T,1113404T,1

0425801T,0425901T,1
0843814T,0425901T,1
1013401T,1032601T,1