codigo_mat,id_carrera,semestre
0412101T,1,Semestre I
0415102T,1,Semestre I
0826101T,1,Semestre I
0834102T,1,Semestre I
1023111T,1,Semestre I
1032109T,1,Semestre I

0416207T,1,Semestre II
0826201T,1,Semestre II
0842201T,1,Semestre II
0846203T,1,Semestre II
0914201T,1,Semestre II

0416304T,1,Semestre III
0423305T,1,Semestre III
0826301T,1,Semestre III
0842303L,1,Semestre III
0846302T,1,Semestre III
1023202T,1,Semestre III

0415405T,1,Semestre IV
0435406T,1,Semestre IV
0826401T,1,Semestre IV
0834405T,1,Semestre IV
1012207T,1,Semestre IV
1023302T,1,Semestre IV

0236509T,1,Semestre V
0425501T,1,Semestre V
0436505T,1,Semestre V
0843501T,1,Semestre V
0834503T,1,Semestre V
1032301T,1,Semestre V

0135701T,1,Semestre VI
0424604T,1,Semestre VI
0425601T,1,Semestre VI
0435606T,1,Semestre VI
0435607T,1,Semestre VI
1013401T,1,Semestre VI
1000003T,1,Semestre VI

0134805T,1,Semestre VII
0425701T,1,Semestre VII
0425705T,1,Semestre VII 
0435708T,1,Semestre VII 
0435709T,1,Semestre VII
0233809T,1,Semestre VII
0243820T,1,Semestre VII
0423504T,1,Semestre VII
0423703T,1,Semestre VII
0423707T,1,Semestre VII
0433710T,1,Semestre VII 
0433711T,1,Semestre VII

0423804T,1,Semestre VIII
0425801T,1,Semestre VIII
0425803T,1,Semestre VIII
0843814T,1,Semestre VIII
1113404T,1,Semestre VIII
0123614T,1,Semestre VIII 
0123801T,1,Semestre VIII
0423805T,1,Semestre VIII
0423807T,1,Semestre VIII
0423810T,1,Semestre VIII
0433817T,1,Semestre VIII

0424902T,1,Semestre IX
0425901T,1,Semestre IX
1013308T,1,Semestre IX
1032601T,1,Semestre IX
1000000T,1,Semestre IX
1000001T,1,Semestre IX 

0400002T,1,Semestre X 
0400001T,1,Semestre X